a	aː
fjölgaði	f j œ l k a ð ɪ
fjölgi	f j œ l c ɪ
fjölgun	f j œ l k ʏ n
fjölgunar	f j œ l k ʏ n a r
fjölgunin	f j œ l k ʏ n ɪ n
fjölhliða	f j œ l l̥ ɪ ð a
fjölina	f j œː l ɪ n a
fjölkunnugur	f j œ l k ʏ n ʏ ɣ ʏ r
fjöll	f j œ t l̥
fjöllum	f j œ t l ʏ m
fjöllunum	f j œ t l ɔ n ʏ m
fjölluðu	f j œ t l ʏ ð ʏ
fjölmarga	f j œ l m a r k a
fjölmenna	f j œ l m ɛ n a
fjölmennari	f j œ l m ɛ n a r ɪ
fjölmennasta	f j œ l m ɛ n a s t a
fjölmennir	f j œ l m ɛ n ɪ r
fjölmenntu	f j œ l m ɛ n̥ t ʏ
fjölmennum	f j œ l m ɛ n ʏ m
fjölmennur	f j œ l m ɛ n ʏ r
fjölmennustu	f j œ l m ɛ n ʏ s t ʏ
fjölmiðlanna	f j œ l m ɪ ð l a n a
fjölmiðlar	f j œ l m ɪ ð l a r
fjölmiðlarnir	f j œ l m ɪ ð l a t n ɪ r
fjölmiðlinum	f j œ l m ɪ ð l ɪ n ʏ m
fjölmiðlunum	f j œ l m ɪ ð l ɔ n ʏ m
fjölmörgu	f j œ l m œ r k ʏ
fjölmörgum	f j œ l m œ r k ʏ m
fjölni	f j œ l n ɪ
fjölnir	f j œ l n ɪ r
fjölnis	f j œ l n ɪ s
fjölorkuvélum	f j œː l ɔ r̥ k ʏ v j ɛː l ʏ m
fjölskrúðugt	f j œ l s k r u ð ʏ x t
fjölskyldan	f j œ l s c ɪ l t a n
fjölskyldna	f j œ l s c ɪ l t n a
fjölskyldnanna	f j œ l s c ɪ l t n a n a
fjölskyldufaðirinn	f j œ l s c ɪ l t ʏ f aː ð ɪ r ɪ n
fjölskyldugarðurinn	f j œ l s c ɪ l t ʏ k a r ð ʏ r ɪ n
fjölskyldum	f j œ l s c ɪ l t ʏ m
fjölskyldumeðlims	f j œ l s c ɪ l t ʏ m ɛ ð l ɪ m s
fjölskylduna	f j œ l s c ɪ l t ʏ n a
fjölskyldunnar	f j œ l s c ɪ l t ʏ n a r
fjölskyldunni	f j œ l s c ɪ l t ʏ n ɪ
fjölskyldurnar	f j œ l s c ɪ l t ʏ t n a r
fjölskylduvænt	f j œ l s c ɪ l t ʏ v ai n̥ t
fjölsykrungum	f j œ l s ɪ k r u ŋ k ʏ m
fjölum	f j œː l ʏ m
fjölunum	f j œː l ɔ n ʏ m
fjölvaútgáfan	f j œ l v aː u t k au v a n
fjölyrða	f j œː l ɪ r ð a
fjölþætt	f j œ l θ ai h t
fjölþætta	f j œ l θ ai h t a
fjör	f j œː r
fjöri	f j œː r ɪ
fjörinu	f j œː r ɪ n ʏ
fjörið	f j œː r ɪ ð
fjöru	f j œː r ʏ
fjörug	f j œː r ʏ ɣ
fjöruga	f j œː r ʏ ɣ a
fjörugar	f j œː r ʏ ɣ a r
fjörugrjótið	f j œː r ʏ k r j ouː t ɪ ð
fjörugt	f j œː r ʏ x t
fjöruhnöllungunum	f j œː r ʏ n̥ œ t l u ŋ k ɔ n ʏ m
fjörukambinum	f j œː r ʏ k a m p ɪ n ʏ m
fjöruna	f j œː r ʏ n a
fjörur	f j œː r ʏ r
fjörurnar	f j œː r ʏ t n a r
fjörð	f j œ r ð
fjörðinn	f j œ r ð ɪ n
fjörðum	f j œ r ð ʏ m
fjörðunum	f j œ r ð ɔ n ʏ m
fjörður	f j œ r ð ʏ r
fjörðurinn	f j œ r ð ʏ r ɪ n
fjötrarnir	f j œː t r a t n ɪ r
fjötrum	f j œː t r ʏ m
fjötur	f j œː t ʏ r
fjöðrinni	f j œ ð r ɪ n ɪ
fjöðrum	f j œ ð r ʏ m
fjöðrun	f j œ ð r ʏ n
fjöðrunum	f j œ ð r ɔ n ʏ m
fjöður	f j œː ð ʏ r
fjúka	f j uː k a
fjúkandi	f j uː k a n t ɪ
flagg	f l a k
flagga	f l a k a
flaggað	f l a k a ð
flaggblaðsins	f l a k p l a ð s ɪ n s
flagginu	f l a c ɪ n ʏ
flagna	f l a k n a
flak	f l aː k
flaki	f l aː c ɪ
flakið	f l aː c ɪ ð
flakk	f l a h k
flakka	f l a h k a
flakkar	f l a h k a r
flakkarinn	f l a h k a r ɪ n
flakkaði	f l a h k a ð ɪ
flakki	f l a h c ɪ
flaks	f l a k s
flaksandi	f l a k s a n t ɪ
flaksast	f l a k s a s t
flaksaðist	f l a k s a ð ɪ s t
flasið	f l aː s ɪ ð
flaska	f l a s k a
flaskan	f l a s k a n
flass	f l a s
flassi	f l a s ɪ
flassið	f l a s ɪ ð
flassmyndir	f l a s m ɪ n t ɪ r
flata	f l aː t a
flatan	f l aː t a n
flatargjalds	f l aː t a r c a l t s
flatarmáli	f l aː t a r m auː l ɪ
flatey	f l aː t ei
flateyjar	f l aː t ei j a r
flateyri	f l aː t ei r ɪ
flatgryfjur	f l aː t k r ɪ f j ʏ r
flatir	f l aː t ɪ r
flatmaga	f l aː t m a ɣ a
flatskjá	f l aː t s c au
flatt	f l a h t
flatur	f l aː t ʏ r
flaug	f l œyː ɣ
flaumi	f l œyː m ɪ
flaumósa	f l œyː m ou s a
flaustri	f l œy s t r ɪ
flaut	f l œyː t
flauta	f l œyː t a
flautað	f l œyː t a ð
flautaði	f l œyː t a ð ɪ
flautu	f l œyː t ʏ
flautuna	f l œyː t ʏ n a
flautur	f l œyː t ʏ r
fleginn	f l ei j ɪ n
flegnum	f l ei k n ʏ m
fleipur	f l eiː p ʏ r
fleiður	f l eiː ð ʏ r
flekar	f l ɛː k a r
flekka	f l ɛ h k a
flekkir	f l ɛ h c ɪ r
flekkjum	f l ɛ h c ʏ m
flekklaus	f l ɛ h k l œy s
flekkótta	f l ɛ h k ou h t a
flen	f l ɛː n
flengdi	f l ei ŋ t ɪ
flengja	f l ei ɲ c a
flensborg	f l ɛ n s p ɔ r k
flensu	f l ɛ n s ʏ
flensunni	f l ɛ n s ʏ n ɪ
flesk	f l ɛ s k
fleskið	f l ɛ s c ɪ ð
flest	f l ɛ s t
flesta	f l ɛ s t a
flestallt	f l ɛ s t a l̥ t
flestan	f l ɛ s t a n
flestar	f l ɛ s t a r
flestir	f l ɛ s t ɪ r
flestra	f l ɛ s t r a
flestu	f l ɛ s t ʏ
flestum	f l ɛ s t ʏ m
flestöll	f l ɛ s t œ t l̥
flet	f l ɛː t
fleti	f l ɛː t ɪ
fletinu	f l ɛː t ɪ n ʏ
fletir	f l ɛː t ɪ r
fletja	f l ɛː t j a
flett	f l ɛ h t
fletta	f l ɛ h t a
fletti	f l ɛ h t ɪ
fletting	f l ɛ h t i ŋ k
flettingar	f l ɛ h t i ŋ k a r
flettir	f l ɛ h t ɪ r
flettivalmyndinni	f l ɛ h t ɪ v a l m ɪ n t ɪ n ɪ
flettu	f l ɛ h t ʏ
flex	f l ɛː k s
fleyg	f l eiː ɣ
fleygi	f l ei j ɪ
fleygir	f l ei j ɪ r
fleygði	f l ei ɣ ð ɪ
fleygðu	f l ei ɣ ð ʏ
fleyta	f l eiː t a
fleytt	f l ei h t
fleytti	f l ei h t ɪ
flibba	f l ɪ p a
flibbahnöppum	f l ɪ p a n̥ œ h p ʏ m
flimtingum	f l ɪ m̥ t i ŋ k ʏ m
flink	f l i ŋ̊ k
flinkur	f l i ŋ̊ k ʏ r
flipkjarna	f l ɪ p c a r t n a
fliss	f l ɪ s
flissa	f l ɪ s a
flissaði	f l ɪ s a ð ɪ
flissið	f l ɪ s ɪ ð
fljót	f l j ouː t
fljóta	f l j ouː t a
fljótar	f l j ouː t a r
fljótari	f l j ouː t a r ɪ
fljóti	f l j ouː t ɪ
fljótinu	f l j ouː t ɪ n ʏ
fljótir	f l j ouː t ɪ r
fljótið	f l j ouː t ɪ ð
fljótmælt	f l j ou t m ai l̥ t
fljótmæltur	f l j ou t m ai l̥ t ʏ r
fljóts	f l j ou t s
fljótt	f l j ou h t
fljótu	f l j ouː t ʏ
fljótum	f l j ouː t ʏ m
fljótur	f l j ouː t ʏ r
fljúga	f l j uː a
fljúgandi	f l j uː a n t ɪ
fljúgi	f l j uː ɪ
flog	f l ɔː ɣ
flogaveiki	f l ɔː ɣ a v eiː c ɪ
flogið	f l ɔi j ɪ ð
flokk	f l ɔ h k
flokka	f l ɔ h k a
flokkana	f l ɔ h k a n a
flokkanna	f l ɔ h k a n a
flokkar	f l ɔ h k a r
flokkarnir	f l ɔ h k a t n ɪ r
flokkast	f l ɔ h k a s t
flokkað	f l ɔ h k a ð
flokkaðar	f l ɔ h k a ð a r
flokkaði	f l ɔ h k a ð ɪ
flokkaðist	f l ɔ h k a ð ɪ s t
flokkaður	f l ɔ h k a ð ʏ r
flokki	f l ɔ h c ɪ
flokkist	f l ɔ h c ɪ s t
flokknum	f l ɔ h k n ʏ m
flokks	f l ɔ h k s
flokksins	f l ɔ h k s ɪ n s
flokkum	f l ɔ h k ʏ m
flokkun	f l ɔ h k ʏ n
flokkunar	f l ɔ h k ʏ n a r
flokkunum	f l ɔ h k ɔ n ʏ m
flokkur	f l ɔ h k ʏ r
flosa	f l ɔː s a
flosi	f l ɔː s ɪ
flosnað	f l ɔ s t n a ð
flot	f l ɔː t
flota	f l ɔː t a
flotann	f l ɔː t a n
flotans	f l ɔː t a n s
flotanum	f l ɔː t a n ʏ m
flotholt	f l ɔː t h ɔ l̥ t
floti	f l ɔː t ɪ
flotinn	f l ɔː t ɪ n
flotið	f l ɔː t ɪ ð
flott	f l ɔ h t
flotta	f l ɔ h t a
flottan	f l ɔ h t a n
flottar	f l ɔ h t a r
flottara	f l ɔ h t a r a
flottari	f l ɔ h t a r ɪ
flottasta	f l ɔ h t a s t a
flottastur	f l ɔ h t a s t ʏ r
flottir	f l ɔ h t ɪ r
flottum	f l ɔ h t ʏ m
flottur	f l ɔ h t ʏ r
flotunar	f l ɔː t ʏ n a r
flotvogarinnar	f l ɔː t v ɔ ɣ a r ɪ n a r
flotvörpuskipin	f l ɔː t v œ r̥ p ʏ s c ɪː p ɪ n
fluga	f l ʏː ɣ a
flugan	f l ʏː ɣ a n
flugatviki	f l ʏː ɣ a t v ɪ c ɪ
flugbeitt	f l ʏ ɣ p ei h t
flugbeittum	f l ʏ ɣ p ei h t ʏ m
flugbrautir	f l ʏ ɣ p r œy t ɪ r
flugeldana	f l ʏː ɣ ɛ l t a n a
flugeldasýninguna	f l ʏː ɣ ɛ l t a s iː n i ŋ k ʏ n a
flugeldum	f l ʏː ɣ ɛ l t ʏ m
flugfarþega	f l ʏ x f a r θ ɛ ɣ a
flugfreyja	f l ʏ x f r ei j a
flugfreyjan	f l ʏ x f r ei j a n
flugfreyjur	f l ʏ x f r ei j ʏ r
flughlað	f l ʏ ɣ l̥ a ð
flugi	f l ʏi j ɪ
fluginu	f l ʏi j ɪ n ʏ
flugið	f l ʏi j ɪ ð
flugkappar	f l ʏ ɣ kʰ a h p a r
flugkappi	f l ʏ ɣ kʰ a h p ɪ
flugleiða	f l ʏ ɣ l ei ð a
flugleiðum	f l ʏ ɣ l ei ð ʏ m
flugrekendum	f l ʏ ɣ r ɛ k ɛ n t ʏ m
flugrekendur	f l ʏ ɣ r ɛ k ɛ n t ʏ r
flugsins	f l ʏ x s ɪ n s
flugskeytum	f l ʏ x s c ei t ʏ m
flugslysinu	f l ʏ x s t l ɪ s ɪ n ʏ
flugslyssins	f l ʏ x s t l ɪ s ɪ n s
flugturninn	f l ʏ ɣ t ʏ r t n ɪ n
flugu	f l ʏː ɣ ʏ
flugum	f l ʏː ɣ ʏ m
fluguna	f l ʏː ɣ ʏ n a
flugupplýsingabréfum	f l ʏː ɣ ʏ h p l i s i ŋ k a p r j ɛː v ʏ m
flugur	f l ʏː ɣ ʏ r
flugurnar	f l ʏː ɣ ʏ t n a r
fluguð	f l ʏː ɣ ʏ ð
flugvallar	f l ʏ ɣ v a t l a r
flugvallarins	f l ʏ ɣ v a t l a r ɪ n s
flugvéla	f l ʏ ɣ v j ɛ l a
flugvélanna	f l ʏ ɣ v j ɛ l a n a
flugvélarinnar	f l ʏ ɣ v j ɛ l a r ɪ n a r
flugvélarnar	f l ʏ ɣ v j ɛ l a t n a r
flugvélin	f l ʏ ɣ v j ɛ l ɪ n
flugvélinni	f l ʏ ɣ v j ɛ l ɪ n ɪ
flugvöllinn	f l ʏ ɣ v œ t l ɪ n
flugvöllurinn	f l ʏ ɣ v œ t l ʏ r ɪ n
flust	f l ʏ s t
flutning	f l ʏ h t n i ŋ k
flutninga	f l ʏ h t n i ŋ k a
flutningana	f l ʏ h t n i ŋ k a n a
flutningar	f l ʏ h t n i ŋ k a r
flutningi	f l ʏ h t n i ɲ c ɪ
flutninginn	f l ʏ h t n i ɲ c ɪ n
flutningnum	f l ʏ h t n i ŋ k n ʏ m
flutnings	f l ʏ h t n i ŋ s
flutningum	f l ʏ h t n i ŋ k ʏ m
flutningur	f l ʏ h t n i ŋ k ʏ r
flutningurinn	f l ʏ h t n i ŋ k ʏ r ɪ n
flutt	f l ʏ h t
flutti	f l ʏ h t ɪ
fluttir	f l ʏ h t ɪ r
fluttist	f l ʏ h t ɪ s t
fluttu	f l ʏ h t ʏ
fluttum	f l ʏ h t ʏ m
fluttumst	f l ʏ h t ʏ m s t
fluttur	f l ʏ h t ʏ r
fluttust	f l ʏ h t ʏ s t
fluttuð	f l ʏ h t ʏ ð
flutu	f l ʏː t ʏ
flygil	f l ɪː ɪ l
flygill	f l ɪː ɪ t l̥
flykki	f l ɪ h c ɪ
flykkjast	f l ɪ h c a s t
flykktist	f l ɪ x t ɪ s t
flykktust	f l ɪ x t ʏ s t
flysja	f l ɪː s j a
flysjaði	f l ɪː s j a ð ɪ
flyst	f l ɪ s t
flyt	f l ɪː t
flytja	f l ɪː t j a
flytjast	f l ɪː t j a s t
flytjenda	f l ɪː t j ɛ n t a
flytjendum	f l ɪː t j ɛ n t ʏ m
flytjendur	f l ɪː t j ɛ n t ʏ r
flytji	f l ɪː t j ɪ
flytjist	f l ɪː t j ɪ s t
flytjum	f l ɪː t j ʏ m
flyttist	f l ɪ h t ɪ s t
flyttu	f l ɪ h t ʏ
flytur	f l ɪː t ʏ r
flá	f l auː
fláræði	f l auː r ai ð ɪ
flæddi	f l ai t ɪ
flæddu	f l ai t ʏ
flæking	f l aiː c i ŋ k
flækingar	f l aiː c i ŋ k a r
flækingi	f l aiː c i ŋ c ɪ
flækingurinn	f l aiː c i ŋ k ʏ r ɪ n
flækist	f l aiː c ɪ s t
flækja	f l aiː c a
flækjast	f l aiː c a s t
flækju	f l aiː c ʏ
flækjum	f l aiː c ʏ m
flækst	f l ai x s t
flækt	f l ai x t
flækta	f l ai x t a
flækti	f l ai x t ɪ
flæktir	f l ai x t ɪ r
flæktur	f l ai x t ʏ r
flæktust	f l ai x t ʏ s t
flæma	f l aiː m a
flæmingi	f l aiː m i ɲ c ɪ
flæmingjagrunni	f l aiː m i ɲ c a k r ʏ n ɪ
flæmska	f l ai m s k a
flær	f l aiː r
flæða	f l aiː ð a
flæði	f l aiː ð ɪ
flæðir	f l aiː ð ɪ r
flétta	f l j ɛ h t a
fléttar	f l j ɛ h t a r
fléttast	f l j ɛ h t a s t
fléttað	f l j ɛ h t a ð
fléttaði	f l j ɛ h t a ð ɪ
fléttu	f l j ɛ h t ʏ
fléttuna	f l j ɛ h t ʏ n a
fléttunni	f l j ɛ h t ʏ n ɪ
fléttur	f l j ɛ h t ʏ r
flétturnar	f l j ɛ h t ʏ t n a r
fléttuðu	f l j ɛ h t ʏ ð ʏ
flík	f l iː k
flíkaði	f l iː k a ð ɪ
flíkum	f l iː k ʏ m
flís	f l iː s
flísalagt	f l iː s a l a x t
flísalögð	f l iː s a l œ ɣ ð
flísar	f l iː s a r
flísarnar	f l iː s a t n a r
flísum	f l iː s ʏ m
fló	f l ouː
flóa	f l ouː a
flóann	f l ouː a n
flóanum	f l ouː a n ʏ m
flóaða	f l ouː a ð a
flóinn	f l ouː ɪ n
flóka	f l ouː k a
flóki	f l ouː c ɪ
flókin	f l ouː c ɪ n
flókinn	f l ouː c ɪ n
flókið	f l ouː c ɪ ð
flókna	f l ou h k n a
flóknar	f l ou h k n a r
flóknara	f l ou h k n a r a
flóknari	f l ou h k n a r ɪ
flóknu	f l ou h k n ʏ
flóknum	f l ou h k n ʏ m
flónsku	f l ou n s k ʏ
flórens	f l ouː r ɛ n s
flórinn	f l ouː r ɪ n
flóru	f l ouː r ʏ
flórída	f l ouː r i t a
flótta	f l ou h t a
flóttann	f l ou h t a n
flótti	f l ou h t ɪ
flóttinn	f l ou h t ɪ n
flóventsson	f l ouː v ɛ n̥ t s ɔː n
flóð	f l ouː ð
flóða	f l ouː ð a
flóðgáttir	f l ou ð k au h t ɪ r
flóði	f l ouː ð ɪ
flóðið	f l ouː ð ɪ ð
flóðu	f l ouː ð ʏ
flóðum	f l ouː ð ʏ m
flögra	f l œ ɣ r a
flögrandi	f l œ ɣ r a n t ɪ
flögrar	f l œ ɣ r a r
flögraði	f l œ ɣ r a ð ɪ
flögruðu	f l œ ɣ r ʏ ð ʏ
flögu	f l œː ɣ ʏ
flögum	f l œː ɣ ʏ m
flök	f l œː k
flökraði	f l œː k r a ð ɪ
flöksuðust	f l œ k s ʏ ð ʏ s t
flöktu	f l œ x t ʏ
flökum	f l œː k ʏ m
flösku	f l œ s k ʏ
flöskum	f l œ s k ʏ m
flöskuna	f l œ s k ʏ n a
flöskunni	f l œ s k ʏ n ɪ
flöskunum	f l œ s k ɔ n ʏ m
flöskur	f l œ s k ʏ r
flöt	f l œː t
flötina	f l œː t ɪ n a
flötinn	f l œː t ɪ n
flötinni	f l œː t ɪ n ɪ
flötu	f l œː t ʏ
flötum	f l œː t ʏ m
flötur	f l œː t ʏ r
flúið	f l uː ɪ ð
flúor	f l uː ɔ r
flúorefnin	f l u ɔː r ɛ p n ɪ n
flúorhúðun	f l uː ɔ r h uː ð ʏ n
flúors	f l uː ɔ r̥ s
flúorskol	f l uː ɔ r̥ s k ɔː l
flúrlömpum	f l u r l œ m̥ p ʏ m
flúrsýra	f l uː r̥ s i r a
flúðaseli	f l uː ð a s ɛː l ɪ
flúði	f l uː ð ɪ
flúðir	f l uː ð ɪ r
flúðu	f l uː ð ʏ
flúðum	f l uː ð ʏ m
flý	f l iː
flýgur	f l iː ɣ ʏ r
flýja	f l iː j a
flýr	f l iː r
flýta	f l iː t a
flýti	f l iː t ɪ
flýtilyklana	f l iː t ɪ l ɪ h k l a n a
flýtinum	f l iː t ɪ n ʏ m
flýtir	f l iː t ɪ r
flýtið	f l iː t ɪ ð
flýtt	f l i h t
flýtti	f l i h t ɪ
flýttum	f l i h t ʏ m
flýtur	f l iː t ʏ r
flýði	f l iː ð ɪ
fnykur	f n ɪː k ʏ r
fnykurinn	f n ɪː k ʏ r ɪ n
fnæsti	f n ai s t ɪ
fokhelt	f ɔː k h ɛ l̥ t
fokið	f ɔː c ɪ ð
fokker	f ɔ h k ɛ r
fokkervél	f ɔ h k ɛ r v j ɛː l
fokking	f ɔ h c i ŋ
foknet	f ɔ k n ɛ t
folaldasýningu	f ɔː l a l t a s iː n i ŋ k ʏ
folann	f ɔː l a n
folatollurinn	f ɔː l a tʰ ɔ t l ʏ r ɪ n
fold	f ɔ l t
foldar	f ɔ l t a r
foldasafn	f ɔ l t a s a p n̥
foldaskóla	f ɔ l t a s k ouː l a
folinn	f ɔː l ɪ n
folöld	f ɔː l œ l t
fondú	f ɔ n t u
font	f ɔ n̥ t
fontana	f ɔ n̥ t a n a
forboðið	f ɔ r p ɔ ð ɪ ð
forboðna	f ɔ r p ɔ ð n a
forboðnu	f ɔ r p ɔ ð n ʏ
ford	f ɔ r t
fordrykki	f ɔ r t r ɪ h c ɪ
fordyrinu	f ɔ r t ɪ r ɪ n ʏ
fordæma	f ɔ r t ai m a
fordæmdi	f ɔ r t ai m t ɪ
fordæmdu	f ɔ r t ai m t ʏ
fordæmdur	f ɔ r t ai m t ʏ r
fordæmi	f ɔ r t ai m ɪ
fordæmingu	f ɔ r t ai m i ŋ k ʏ
fordæmt	f ɔ r t ai m̥ t
fordóma	f ɔ r t ou m a
fordómar	f ɔ r t ou m a r
fordómum	f ɔ r t ou m ʏ m
foreldra	f ɔː r ɛ l t r a
foreldralínan	f ɔː r ɛ l t r a l iː n a n
foreldramorgunn	f ɔː r ɛ l t r a m ɔ r k ʏ n
foreldrana	f ɔː r ɛ l t r a n a
foreldranna	f ɔː r ɛ l t r a n a
foreldrar	f ɔː r ɛ l t r a r
foreldrarnir	f ɔː r ɛ l t r a t n ɪ r
foreldri	f ɔː r ɛ l t r ɪ
foreldris	f ɔː r ɛ l t r ɪ s
foreldrum	f ɔː r ɛ l t r ʏ m
foreldrunum	f ɔː r ɛ l t r ɔ n ʏ m
forfallaðist	f ɔ r f a t l a ð ɪ s t
forfallinn	f ɔ r f a t l ɪ n
forfaðir	f ɔ r̥ f a ð ɪ r
forfeðra	f ɔ r̥ f ɛ ð r a
forfeðranna	f ɔ r̥ f ɛ ð r a n a
forfeðrum	f ɔ r̥ f ɛ ð r ʏ m
forfeður	f ɔ r̥ f ɛ ð ʏ r
forföður	f ɔ r̥ f œ ð ʏ r
forgang	f ɔ r k au ŋ k
forgjafar	f ɔ r c a v a r
forgjöf	f ɔ r c œ v
forgrunni	f ɔ r k r ʏ n ɪ
forgöngu	f ɔ r k œy ŋ k ʏ
forgörðum	f ɔ r k œ r ð ʏ m
forhert	f ɔː r h ɛ r̥ t
forhertur	f ɔː r h ɛ r̥ t ʏ r
forina	f ɔː r ɪ n a
foringi	f ɔː r i ɲ c ɪ
foringinn	f ɔː r i ɲ c ɪ n
foringja	f ɔː r i ɲ c a
foringjahollur	f ɔː r i ɲ c a h ɔ t l ʏ r
foringjana	f ɔː r i ɲ c a n a
foringjanna	f ɔː r i ɲ c a n a
foringjans	f ɔː r i ɲ c a n s
foringjanum	f ɔː r i ɲ c a n ʏ m
foringjar	f ɔː r i ɲ c a r
foringjarnir	f ɔː r i ɲ c a t n ɪ r
foringjavagninum	f ɔː r i ɲ c a v a k n ɪ n ʏ m
foringjum	f ɔː r i ɲ c ʏ m
forinni	f ɔː r ɪ n ɪ
forkaupsrétt	f ɔ r k œy p s r j ɛ h t
forkaupsrétti	f ɔ r k œy p s r j ɛ h t ɪ
forkaupsréttur	f ɔ r k œy p s r j ɛ h t ʏ r
forkeppni	f ɔ r c ɛ h p n ɪ
forkólfar	f ɔ r̥ k ou l v a r
forkönnun	f ɔ r̥ kʰ œ n ʏ n
forlag	f ɔ r l a ɣ
forlaginu	f ɔ r l ai j ɪ n ʏ
forlagið	f ɔ r l ai j ɪ ð
forlagsins	f ɔ r l a x s ɪ n s
forlendi	f ɔ r l ɛ n t ɪ
forlið	f ɔ r l ɪ ð
forláta	f ɔ r l au t a
forláts	f ɔ r l au t s
forlög	f ɔ r l œ ɣ
forlögin	f ɔ r l œy j ɪ n
form	f ɔ r m
forma	f ɔ r m a
formann	f ɔ r m a n
formanna	f ɔ r m a n a
formanni	f ɔ r m a n ɪ
formanninum	f ɔ r m a n ɪ n ʏ m
formanns	f ɔ r m a n s
formannsins	f ɔ r m a n s ɪ n s
formaður	f ɔ r m a ð ʏ r
formaðurinn	f ɔ r m a ð ʏ r ɪ n
formenn	f ɔ r m ɛ n
formennsku	f ɔ r m ɛ n s k ʏ
formennskulandið	f ɔ r m ɛ n s k ʏ l a n t ɪ ð
formerki	f ɔ r m ɛ r̥ c ɪ
formerkjum	f ɔ r m ɛ r̥ c ʏ m
formfegursta	f ɔ r m f ɛ ɣ ʏ r̥ s t a
formhönnunar	f ɔ r m h œ n ʏ n a r
formi	f ɔ r m ɪ
formin	f ɔ r m ɪ n
forminu	f ɔ r m ɪ n ʏ
formið	f ɔ r m ɪ ð
formleg	f ɔ r m l ɛ ɣ
formlega	f ɔ r m l ɛ ɣ a
formlegar	f ɔ r m l ɛ ɣ a r
formlegri	f ɔ r m l ɛ ɣ r ɪ
formlegt	f ɔ r m l ɛ x t
formlegu	f ɔ r m l ɛ ɣ ʏ
formlegum	f ɔ r m l ɛ ɣ ʏ m
formlegur	f ɔ r m l ɛ ɣ ʏ r
forms	f ɔ r m s
formsatriði	f ɔ r m s a t r ɪ ð ɪ
formum	f ɔ r m ʏ m
formála	f ɔ r m au l a
formálanum	f ɔ r m au l a n ʏ m
formálar	f ɔ r m au l a r
formáli	f ɔ r m au l ɪ
formælingar	f ɔ r m ai l i ŋ k a r
formælingum	f ɔ r m ai l i ŋ k ʏ m
formælti	f ɔ r m ai l̥ t ɪ
formönnum	f ɔ r m œ n ʏ m
formúla	f ɔ r m u l a
formúlu	f ɔ r m u l ʏ
forn	f ɔ r t n̥
forna	f ɔ r t n a
fornafni	f ɔ r n a p n ɪ
fornafnsins	f ɔ r n a p n̥ s ɪ n s
fornan	f ɔ r t n a n
fornar	f ɔ r t n a r
forneskju	f ɔ r t n ɛ s c ʏ
fornfræga	f ɔ r t n̥ f r ai ɣ a
forngrikkjum	f ɔ r t n k r ɪ h c ʏ m
forngrísku	f ɔ r t n̥ k r i s k ʏ
forni	f ɔ r t n ɪ
fornkveðna	f ɔ r t n kʰ v ɛ ð n a
fornt	f ɔ r n̥ t
fornu	f ɔ r t n ʏ
fornum	f ɔ r t n ʏ m
fornusanda	f ɔ r t n ʏ s a n t a
forrit	f ɔ r ɪ t
forrita	f ɔ r ɪ t a
forritari	f ɔ r ɪ t a r ɪ
forritinu	f ɔ r ɪ t ɪ n ʏ
forritið	f ɔ r ɪ t ɪ ð
forrits	f ɔ r ɪ t s
forritum	f ɔ r ɪ t ʏ m
forritun	f ɔ r ɪ t ʏ n
forræði	f ɔ r ai ð ɪ
forrétt	f ɔ r j ɛ h t
forréttinda	f ɔ r j ɛ h t ɪ n t a
forréttindi	f ɔ r j ɛ h t ɪ n t ɪ
forréttur	f ɔ r j ɛ h t ʏ r
forríkur	f ɔ r i k ʏ r
forsaga	f ɔ r̥ s a ɣ a
forsala	f ɔ r̥ s a l a
forsalinn	f ɔ r̥ s a l ɪ n
forsenda	f ɔ r̥ s ɛ n t a
forsendan	f ɔ r̥ s ɛ n t a n
forsendu	f ɔ r̥ s ɛ n t ʏ
forsendum	f ɔ r̥ s ɛ n t ʏ m
forsendunum	f ɔ r̥ s ɛ n t ɔ n ʏ m
forsendur	f ɔ r̥ s ɛ n t ʏ r
forsendurnar	f ɔ r̥ s ɛ n t ʏ t n a r
forseta	f ɔ r̥ s ɛ t a
forsetafrúin	f ɔ r̥ s ɛ t a f r uː ɪ n
forsetakosninganna	f ɔ r̥ s ɛ t a k ɔ s t n i ŋ k a n a
forsetakosningarnar	f ɔ r̥ s ɛ t a k ɔ s t n i ŋ k a t n a r
forsetann	f ɔ r̥ s ɛ t a n
forsetans	f ɔ r̥ s ɛ t a n s
forsetanum	f ɔ r̥ s ɛ t a n ʏ m
forsetar	f ɔ r̥ s ɛ t a r
forseti	f ɔ r̥ s ɛ t ɪ
forsetinn	f ɔ r̥ s ɛ t ɪ n
forsjá	f ɔ r̥ s j au
forsjár	f ɔ r̥ s j au r
forsjón	f ɔ r̥ s j ou n
forsjónin	f ɔ r̥ s j ou n ɪ n
forsjóninni	f ɔ r̥ s j ou n ɪ n ɪ
forskot	f ɔ r̥ s k ɔ t
forskoti	f ɔ r̥ s k ɔ t ɪ
forskotið	f ɔ r̥ s k ɔ t ɪ ð
forskrift	f ɔ r̥ s k r ɪ f t
forsprakki	f ɔ r̥ s p r a h c ɪ
forspáir	f ɔ r̥ s p au ɪ r
forstjóra	f ɔ r̥ s t j ou r a
forstjórann	f ɔ r̥ s t j ou r a n
forstjórans	f ɔ r̥ s t j ou r a n s
